Track2,Track5,Track8,Track9,Track10,Track13,Track16,TrackPosition,AngleToTrackAxis,Speed,SpeedY,DistanceFromStart,Accelerate,Brake,Steering,Gear
3.06082,4.502,17.2357,200.0,44.9604,12.5412,8.63059,0.478457,0.00732757,225.704,6.97441E-5,673.811,1.0,0.0,0.0,6
3.1401,4.61861,17.6821,200.0,44.5495,12.4266,8.55173,0.464949,0.00732774,226.619,2.00132E-5,683.486,1.0,0.0,0.0,6
3.21539,4.72935,18.106,200.0,44.1594,12.3178,8.47685,0.45212,0.00732762,227.52,1.27227E-4,693.2,1.0,0.0,0.0,6
3.28824,4.83649,18.5161,200.0,43.7822,12.2125,8.40439,0.439708,0.00732674,228.42,1.78667E-4,702.952,1.0,0.0,0.0,6
3.36293,4.94636,18.9367,200.0,43.3952,12.1046,8.33009,0.42698,0.00732616,229.318,7.387E-5,712.743,1.0,0.0,0.0,6
3.43934,5.05874,19.367,200.0,42.9999,11.9941,8.25409,0.41396,0.00732629,230.21,2.75458E-5,722.572,1.0,0.0,0.0,6
3.51745,5.17363,19.8068,200.0,42.699,11.8812,8.17639,0.40065,0.00732607,231.091,1.28729E-4,732.438,1.0,0.0,0.0,6
3.59738,5.29119,20.2568,200.0,42.5641,11.7657,8.0969,0.387032,0.00732521,231.963,1.63826E-4,742.342,1.0,0.0,0.0,6
3.67908,5.41136,20.6383,200.0,42.6093,11.6476,8.01563,0.37311,0.00732472,232.818,9.79672E-6,752.284,1.0,0.0,0.0,6
3.75499,5.52086,20.7858,200.0,42.8925,11.5516,7.94027,0.360175,0.00732509,233.658,-7.56166E-5,762.261,1.0,0.0,0.0,6
3.81323,5.59059,20.7292,200.0,43.3922,11.5062,7.88725,0.349565,0.00447015,234.479,3.88675E-5,772.268,1.0,0.0,0.0,6
3.8358,5.60866,20.4946,200.0,44.0264,11.5115,7.86915,0.344815,0.00112218,235.298,8.55162E-5,782.311,1.0,0.0,0.0,6
3.82483,5.57659,20.0881,200.0,44.6561,11.5678,7.88549,0.345969,-0.00223693,236.111,-4.08083E-5,792.387,1.0,0.0,0.0,6
3.77881,5.49488,19.5481,200.0,45.279,11.6765,7.93675,0.353027,-0.00560671,236.917,-8.44605E-5,802.498,1.0,0.0,0.0,6
3.69751,5.36198,18.9967,200.0,45.8983,11.8299,8.02417,0.366167,-0.00898838,237.717,4.05709E-5,812.644,1.0,0.0,0.0,6
3.59244,5.20829,18.4521,200.0,46.5093,11.9874,8.13085,0.383989,-0.0101285,238.512,8.49217E-5,822.827,1.0,0.0,0.0,6
3.5011,5.07586,17.983,200.0,47.0356,12.123,8.22287,0.399652,-0.0101282,239.188,-8.85647E-5,831.585,1.0,0.0,0.0,6
3.37055,4.8866,17.3124,188.911,47.7879,12.3169,8.35437,0.422037,-0.0101282,240.082,-8.56893E-5,843.3,1.0,0.0,0.0,6
3.25743,4.7226,16.7314,178.57,48.4396,12.4849,8.46833,0.441434,-0.010128,240.858,3.92253E-5,853.586,1.0,0.0,0.0,6
3.14513,4.55978,16.1546,168.217,49.0869,12.6517,8.58147,0.460691,-0.0101285,241.627,9.18633E-5,863.906,1.0,0.0,0.0,6
3.03375,4.39831,15.5825,157.859,49.7288,12.8172,8.69367,0.479789,-0.0101287,242.397,-6.95855E-5,874.258,1.0,0.0,0.0,6
2.92331,4.23819,15.0152,147.5,50.365,12.9812,8.80493,0.498728,-0.010128,243.167,-1.30352E-4,884.643,1.0,0.0,0.0,6
2.81376,4.07937,14.4526,137.133,50.9962,13.1439,8.91529,0.517512,-0.0101277,243.929,-3.8055E-6,895.061,1.0,0.0,0.0,6
2.70513,3.92187,13.8946,126.755,51.6223,13.3052,9.02472,0.53614,-0.0101282,244.681,6.8151E-5,905.511,1.0,0.0,0.0,6
2.59361,3.7602,13.3218,116.294,52.2649,13.4709,9.13707,0.555262,-0.0101282,245.416,-9.23564E-7,915.993,1.0,0.0,0.0,6
2.47675,3.59077,12.7215,105.699,53.0803,13.6444,9.2548,0.575302,-0.0101278,246.134,1.4363E-6,926.507,1.0,0.0,0.0,6
2.36079,3.42266,12.126,95.0953,54.4515,13.8166,9.37161,0.595185,-0.010128,246.828,2.11849E-4,937.05,1.0,0.0,0.0,6
2.24563,3.25569,11.5343,84.4868,56.5202,13.9877,9.48763,0.614933,-0.0101293,247.472,4.17167E-4,947.623,1.0,0.0,0.0,6
2.13108,3.08961,10.9459,73.8702,59.4549,14.1579,9.60303,0.634574,-0.0101309,248.082,3.81681E-4,958.222,1.0,0.0,0.0,6
2.01737,2.92475,10.2352,63.2553,63.1287,14.3733,9.71856,0.654073,-0.010132,248.668,4.07736E-4,968.847,1.0,0.0,-0.30000001192092896,6
2.11926,3.19653,13.9169,200.0,46.2802,13.5147,9.49648,0.643089,0.0377158,248.838,4.45286,979.464,1.0,0.0,0.0,6
2.39282,3.57147,14.543,195.062,47.4912,13.2978,9.25537,0.595104,0.0258297,249.398,0.264957,990.094,1.0,0.0,0.0,6
2.63135,3.89904,15.1961,183.263,47.4963,13.0742,9.03843,0.553311,0.0175119,249.928,-0.0218021,1000.75,1.0,0.0,0.0,6
2.78284,4.09657,15.466,172.603,47.2758,12.9625,8.90474,0.526212,0.00984772,250.446,-0.00220432,1011.43,1.0,0.0,0.0,6
2.84761,4.17456,15.69,161.902,47.0589,12.9035,8.85106,0.514074,0.00336113,250.962,-2.33116E-4,1022.13,1.0,0.0,0.0,6
2.88798,4.23374,15.9125,151.17,46.8444,12.8448,8.81079,0.507186,0.00336261,251.478,-3.38087E-4,1032.88,1.0,0.0,0.0,6
2.92811,4.29258,16.1338,140.412,46.6313,12.7864,8.77076,0.500338,0.00336373,251.991,-1.95684E-4,1043.65,1.0,0.0,0.0,6
2.96793,4.35096,16.3532,129.629,46.42,12.7285,8.73103,0.493543,0.00336411,252.499,-1.39536E-4,1054.44,1.0,0.0,0.0,6
3.00756,4.40906,16.5716,118.823,46.2096,12.6709,8.6915,0.486781,0.00336477,253.001,-2.81149E-4,1065.25,1.0,0.0,0.0,6
3.04712,4.46705,16.7897,107.996,45.9995,12.6133,8.65204,0.480031,0.00336622,253.497,-3.36417E-4,1076.08,1.0,0.0,0.0,6
3.08645,4.52472,17.0066,97.1447,45.7906,12.5561,8.6128,0.473319,0.00336737,253.985,-2.0074E-4,1086.94,1.0,0.0,0.0,6
3.12549,4.58194,17.2216,86.2694,45.6479,12.4993,8.57386,0.466657,0.00336656,254.464,-6.78655E-4,1097.81,1.0,0.0,0.0,6
3.16443,4.63904,17.4364,75.3745,47.8336,12.4427,8.53501,0.460013,0.00336878,254.93,-0.0115144,1108.71,1.0,0.0,0.0,6
3.20312,4.69599,17.6551,64.4816,59.0924,12.3857,8.4963,0.453422,0.00342716,255.385,-0.0345494,1119.62,1.0,0.0,0.0,6
3.24474,4.75763,17.3373,53.6166,133.307,12.3231,8.45449,0.446352,0.0035845,255.836,-0.0585481,1130.56,1.0,0.0,0.0,6
3.28265,4.76344,15.4287,42.7801,114.306,12.5808,8.43844,0.438615,-6.49509E-4,256.286,-0.0720567,1141.5,1.0,0.0,0.0,6
3.09402,4.48194,14.5305,40.8848,112.77,12.9005,8.63385,0.470342,-0.00366006,256.352,3.4901,1152.37,1.0,0.0,0.0,6
2.99285,4.44473,16.1272,47.689,130.66,12.6188,8.67447,0.493331,0.02605,255.947,6.69339,1163.24,1.0,0.0,-0.30000001192092896,6
3.18815,4.87632,19.7343,58.4088,151.712,11.9093,8.43102,0.467768,0.0602683,255.309,9.39415,1174.08,1.0,0.0,0.0,6
3.40399,4.99164,16.4544,43.8397,127.992,12.2506,8.29151,0.421093,0.0152532,255.805,0.736513,1184.92,1.0,0.0,0.0,6
3.3627,4.95222,16.8216,47.6283,137.954,12.2257,8.32428,0.429011,0.0190401,255.648,6.14526,1195.76,1.0,0.0,0.0,6
3.36273,5.00692,18.0001,55.1188,149.017,12.0426,8.30348,0.43174,0.0311567,255.492,7.227,1206.59,1.0,0.0,0.0,6
3.26331,4.6896,14.7109,41.0141,127.275,12.7777,8.48367,0.439436,-0.0133946,255.909,-0.0975086,1217.44,1.0,0.0,0.0,6
3.12259,4.53057,14.9022,45.3538,132.757,12.8082,8.60088,0.465732,-0.00233492,256.008,3.36069,1228.3,1.0,0.0,0.0,6
2.79355,3.9437,11.7418,32.7821,111.996,13.8818,9.02469,0.516219,-0.0383242,256.433,0.0377338,1239.17,1.0,0.0,-0.30000001192092896,6
2.46689,3.61957,12.8099,46.9173,130.655,13.587,9.22943,0.579773,0.00916305,256.121,8.33025,1250.04,1.0,0.0,-0.30000001192092896,6
2.38077,3.59476,14.7885,58.8984,141.462,13.2129,9.23898,0.599704,0.0424254,255.503,9.13598,1260.9,1.0,0.0,0.0,6
2.56259,3.83698,15.0167,52.9626,131.009,13.0774,9.08069,0.567438,0.032747,255.787,2.9529,1271.75,1.0,0.0,0.0,6
2.82477,4.29437,17.4624,57.8753,135.259,12.5106,8.7923,0.52695,0.0526819,255.665,5.83166,1282.62,1.0,0.0,0.0,6
3.36313,5.29217,24.7197,74.0648,40.4169,11.3465,8.233,0.446533,0.0923998,255.14,10.3637,1293.44,1.0,0.0,0.0,6
